"Category","Domestic","Commercial","Industrial (Low & Med. Voltage)","Industrial (High Voltage)","Public Lighting","Traction","Agriculture","Public Water Works & Sewage Pumping","Miscellaneous","Total Energy Sold"
"ER<br>2012-13",22249.509419116355,7376.885856363307,2919.98717831367,63052.28,795.1085407498679,3804.42,1823.5599999999997,925.1199999999901,2000.379005456785,104947.25
"NER<br>2012-13",3185.7041543273103,936.3492436490699,167.6225713854646,3361.64688905866,51.0087590109206,0,79.1420698909878,225.9886241074039,898.3076885701461,8905.770000000002
"NR<br>2012-13",60427.931,22287.428,13799.176000000001,64669.080500000004,1817.3435,2333.11,47393.2709999999,5787.0915,7566.210999999981,226080.6425
"SR<br>2012-13",52074.95524048489,21544.875083010404,12526.9273106727,72173.01645309091,3432.6023556257,2773.27101549053,48606.95141141833,5014.945304131299,3348.9458260731003,221496.48999999996
"WR<br>2012-13",45762.3528260625,20648.0541267179,17383.014393859503,115936.2421701,2000.49792615356,5189.1947525303,49558.99226778091,4272.7455102045,2119.9260265896,262871.01999999996
"ER<br>2013-14",23650.35766062312,7607.070312444992,2970.52777266326,65450.466,802.4829413835591,4125.8240000000005,1770.0400000000002,985.48,2609.175312885055,109971.424
"NER<br>2013-14",3572.66879302011,1066.1216496057652,203.48987459079018,3629.0900186515387,79.0837739038332,0,67.5856221053326,261.5654882312517,997.564779891341,9877.169999999982
"NR<br>2013-14",66902.2818859314,22728.419762737598,14137.8108228136,68241.11748479,1917.849500760439,2676.74,46935.6060273759,6213.44938288969,9252.407632699607,238225.27249999897
"SR<br>2013-14",56198.61205094569,23399.70204134638,12730.806043999191,80672.8257341618,3320.0110226803467,2960.21,52604.780767505996,5902.756080124011,3984.7162592343398,241774.41999999998
"WR<br>2013-14",49517.86588949855,19445.64946977322,21110.30937515536,115271.85637159891,2430.8310638075427,5776.914867794299,51366.313289998725,5823.968210521268,2836.181461847997,273579.88999999996
"ER<br>2014-15",26004.967660623122,8227.000312444992,3032.12377266326,65223.96000000001,720.3829413835591,4251.55,2110.12,961.0499999999989,3303.515312885055,113834.67
"NER<br>2014-15",4281.53311768827,1106.024542983927,223.368454107305,3397.1263147837503,91.004494787575,0,77.8891288562389,284.9526164037453,1277.4902303891802,10739.388899999998
"NR<br>2014-15",72477.7943565574,23926.48201405532,14420.777100034778,77017.53071616018,2036.624623068411,2518.1899999999996,51703.49194815756,6055.550331157579,8658.938910808489,257951.4812762496
"SR<br>2014-15",61276.84006111502,24923.883676761514,13682.156853455346,106413.11641705381,3449.3190238528155,3434.07999999999,54228.657001425,5788.81581029576,4446.09349013222,261778.99196134802
"WR<br>2014-15",53363.5871536519,20207.9959111219,22212.7580426408,126665.95,2447.12085768194,5973.120000000001,60793.299177575,5746.7437579321995,4021.5450993953996,301432.12
"ER<br>2017-18",36509.853178239304,10295.2936183376,3350.51234355571,74100.43799671,891.27133713735,4483.217,2363.2273072298804,1125.0152052599901,7520.14264519999,140638.97063166997
"NER<br>2017-18",5907.677031884,1452.0876085399996,214.93412690000002,3196.0191516699997,91.08852654,2.12,75.50861786,266.96318213999893,1176.0752046,12382.473450134
"NR<br>2017-18",96493.080639524,30452.271531780898,17029.910545747993,84253.639739393,2381.40074006,3309.12498698699,63785.911730672,7362.0172350269995,9565.842905968779,314633.2000551589
"SR<br>2017-18",73787.85876004999,29818.910713649,18167.6864353929,93158.4216045041,3510.9528533446396,3695.665636,65637.953399099,5393.72191231724,7604.201458140599,300775.3727724982
"WR<br>2017-18",60846.551741671,21736.2903159012,28309.0434061048,146832.69437441794,2794.38286638302,5942.543822,67384.25321009899,6723.839936016299,14427.240530335199,354996.84020291903
"ER<br>2018-19",40083.507776,11091.696138999901,3516.9656990092003,98317.451068834,991.755979,4678.0811698,3012.5353409999902,1214.8759749456199,6145.25242,169052.121567589
"NER<br>2018-19",5832.459797997801,1552.1559122126,245.324394262657,3652.6259670450304,95.70807780964199,0,89.66586491202,315.272392114582,1226.256186053269,13009.46859240769
"NR<br>2018-19",100870.88656301991,30910.4498698548,16480.568670734,91399.531393748,2192.523223581,3825.830474,62542.009999305,7573.935556858,12188.6202760828,327984.3560271829
"SR<br>2018-19",77261.02304907,29990.575615394602,19017.5146853335,100428.4322391149,3561.9718674790897,3585.1518789999986,73189.622766178,6227.857473172299,10425.11506124659,323687.26463599
"WR<br>2018-19",64195.23486878701,24682.7676056269,28486.1466153609,157651.730334308,2834.0996375045092,6748.365525,74575.34634562698,7001.7326337167,10062.9984713053,376238.4220372339
"ER<br>2019-20",44281.0156512359,12214.428317201799,3644.65927906,102584.103902183,1240.838116021,5788.328501772,3105.86932212,1465.25121,5205.491338999999,179529.985638592
