State_yyyy-yy,Domestic,Commercial,Industrial (Low & Med. Voltage),Industrial (High Voltage),Public Lighting,Traction,Agriculture,Public Water Works & Sewage Pumping,Miscellaneous,Total Energy Sold(GWH)
Mizoram-2012-13,197.59,21.1,1.81,1.47,5.36,0,0.08,37.23,21.96,286.6
D & N Haveli-2012-13,71.8,27.79,163.31,4323.54,5.04,0,3.55,0,2.05,4597.08
Daman & Diu-2012-13,77.31,38.5,160.22,1527.8,6.46,0,4.19,1.11,0,1815.59
Goa-2012-13,835,216,127.03,1765.99,15,0,21,101,0,3081.02
Maharashtra-2012-13,22594.63,12885.88,6489.92,35324.5,1258.55,2341.92,22059.05,1784.04,174.67,104913.16
Chhattisgarh-2012-13,3807.42,1136.63,477.56,17519.93,92.18,801.82,2518.08,208.74,0,26562.36
Madhay Pradesh-2012-13,7771.652826,2069.624127,1074.944394,11362.29217,333.5679262,1315.544753,9978.282268,1045.69551,1903.266027,36854.87
Gujarat-2012-13,10604.54,4273.63,8890.03,44112.19,289.7,729.91,14974.84,1132.16,39.94,85046.94
Delhi-2012-13,11116.35,6720.97,2797.5,178.14,375.49,436.82,34.22,498.8,986.56,23144.85
Chandigarh-2012-13,586.54,397.55,123.95,139.15,21.98,0,1.4,,96.13,1366.7
Uttarakhand-2012-13,1799.56,953.94,289.42,5553.28,69.83,7.83,387.84,302.68,167.55,9531.93
Uttar Pradesh-2012-13,19843.951,5121.658,3182.336,21962.4705,754.5335,753.4,9214.731,1449.8215,3701.331,65984.2325
Rajasthan-2012-13,8155.85,3046.82,2639.05,14374.53,308.83,404.11,18324.65,1479.73,614.83,49348.4
Jammu & Kashmir-2012-13,2469.39,321.97,958.49,,37.67,0,296.74,481.46,600.77,5166.49
Himachal Pradesh-2012-13,1616.58,410.98,61.48,4563.12,13.91,0,74.95,425.58,304.43,7471.03
Haryana-2012-13,5554.81,2601.18,1395.42,7337.95,89.29,596.12,8279.71,743.99,476.68,27075.15
Andhra Pradesh-2012-13,16049.63068,5979.030579,3916.916536,23520.65698,1476.362838,1772.18,19935.79126,1135.175304,1060.095826,74845.84
Karnataka-2012-13,9191.7,5917.12,1811.42,20250.08,800.63,91.31,17173.77,2166.45,502.29,57904.77
Punjab-2012-13,9284.9,2712.36,2351.53,10560.44,145.81,134.83,10779.03,405.03,617.93,36991.86
Arunachal Pradesh-2012-13,137.6518876,42.15774874,33.97197054,156.6000812,10.94079798,0,0,7.967755051,81.63975884,470.93
Tripura-2012-13,403.59,77.17,16.57,37.06,11.32,0,41.96,46.87,86.85,721.39
Nagaland-2012-13,220.498654,34.64978849,13.64991668,0,5.249967953,0,0.041999744,3.149980772,50.39969235,327.64
Meghalaya-2012-13,403.6336127,88.46170642,8.020684169,738.5368078,1.287993078,0,0.480070147,44.47088829,111.4582374,1396.35
Manipur-2012-13,203.74,30.81,19.6,14.13,4.85,0,1.58,23.3,81,379.01
Assam-2012-13,1619,642,74,2413.85,12,0,35,63,465,5323.85
Sikkim-2012-13,140.5794191,64.89585636,147.3471783,0,5.08854075,0,0,0,27.52900546,385.44
A & N Islands-2012-13,100.2,53.14,19.33,0,8.64,0,0.84,0,24.2,206.35
Tamil Nadu-2012-13,17834,6418,5493.13,22859.57,822.68,736,11248,1618.32,1649,68678.7
Puducherry-2012-13,589.81,192.99,197.55,1511.71,15.84,0,56.75,39.86,12.11,2616.62
Lakshadweep-2012-13,27.13,9.29,0.4,0,1.08,0,0,0,0,37.9
Kerala-2012-13,8382.684561,3028.444504,1107.510775,4030.999473,316.0095173,173.7810155,192.6401549,55.14,125.45,17412.66
Bihar-2012-13,2858.03,730.43,251.12,1744.99,56.35,448.64,336.53,53.3,581.44,7060.83
Jharkhand $-2012-13,3780,452.2422,181.84,16323.141,252,1076.5152,84,150.5,437.5,22737.7384
Orissa-2012-13,4299.83,1171.63,309.57,28469.39,64.88,930.33,156.63,112.01,582.9,36097.17
Chhattisgarh-2013-14,4097.07,1237.32,517.23,18225.99,102.23,837.34,2492.2,224.87,18.94,27753.19
